Question;Race;Selection;Value
Height;All;Not Selected;1552
Height;All;Selected;63
Height;Asian;Not Selected;33
Height;Asian;Selected;3
Height;Black;Not Selected;63
Height;Black;Selected;9
Height;Hispanic;Not Selected;66
Height;Hispanic;Selected;5
Height;Other;Not Selected;80
Height;Other;Selected;5
Height;White;Not Selected;1310
Height;White;Selected;41
Weight;All;Not Selected;711
Weight;All;Selected;904
Weight;Asian;Not Selected;20
Weight;Asian;Selected;16
Weight;Black;Not Selected;37
Weight;Black;Selected;35
Weight;Hispanic;Not Selected;28
Weight;Hispanic;Selected;43
Weight;Other;Not Selected;43
Weight;Other;Selected;42
Weight;White;Not Selected;583
Weight;White;Selected;768
Hair;All;Not Selected;1410
Hair;All;Selected;205
Hair;Asian;Not Selected;26
Hair;Asian;Selected;10
Hair;Black;Not Selected;62
Hair;Black;Selected;10
Hair;Hispanic;Not Selected;54
Hair;Hispanic;Selected;17
Hair;Other;Not Selected;74
Hair;Other;Selected;11
Hair;White;Not Selected;1194
Hair;White;Selected;157
Physique;All;Not Selected;1105
Physique;All;Selected;510
Physique;Asian;Not Selected;23
Physique;Asian;Selected;13
Physique;Black;Not Selected;50
Physique;Black;Selected;22
Physique;Hispanic;Not Selected;41
Physique;Hispanic;Selected;30
Physique;Other;Not Selected;68
Physique;Other;Selected;17
Physique;White;Not Selected;923
Physique;White;Selected;428
Appearance of genetalia;All;Not Selected;1467
Appearance of genetalia;All;Selected;148
Appearance of genetalia;Asian;Not Selected;32
Appearance of genetalia;Asian;Selected;4
Appearance of genetalia;Black;Not Selected;63
Appearance of genetalia;Black;Selected;9
Appearance of genetalia;Hispanic;Not Selected;61
Appearance of genetalia;Hispanic;Selected;10
Appearance of genetalia;Other;Not Selected;83
Appearance of genetalia;Other;Selected;2
Appearance of genetalia;White;Not Selected;1228
Appearance of genetalia;White;Selected;123
Clothing style;All;Not Selected;1415
Clothing style;All;Selected;200
Clothing style;Asian;Not Selected;26
Clothing style;Asian;Selected;10
Clothing style;Black;Not Selected;54
Clothing style;Black;Selected;18
Clothing style;Hispanic;Not Selected;58
Clothing style;Hispanic;Selected;13
Clothing style;Other;Not Selected;75
Clothing style;Other;Selected;10
Clothing style;White;Not Selected;1202
Clothing style;White;Selected;149
Sexual performance or amount of sex;All;Not Selected;1264
Sexual performance or amount of sex;All;Selected;354
Sexual performance or amount of sex;Asian;Not Selected;26
Sexual performance or amount of sex;Asian;Selected;10
Sexual performance or amount of sex;Black;Not Selected;53
Sexual performance or amount of sex;Black;Selected;19
Sexual performance or amount of sex;Hispanic;Not Selected;59
Sexual performance or amount of sex;Hispanic;Selected;12
Sexual performance or amount of sex;Other;Not Selected;66
Sexual performance or amount of sex;Other;Selected;19
Sexual performance or amount of sex;White;Not Selected;1057
Sexual performance or amount of sex;White;Selected;294
Mental health;All;Not Selected;1227
Mental health;All;Selected;388
Mental health;Asian;Not Selected;23
Mental health;Asian;Selected;13
Mental health;Black;Not Selected;54
Mental health;Black;Selected;18
Mental health;Hispanic;Not Selected;51
Mental health;Hispanic;Selected;20
Mental health;Other;Not Selected;74
Mental health;Other;Selected;11
Mental health;White;Not Selected;1025
Mental health;White;Selected;326
Physical health;All;Not Selected;780
Physical health;All;Selected;835
Physical health;Asian;Not Selected;11
Physical health;Asian;Selected;25
Physical health;Black;Not Selected;32
Physical health;Black;Selected;40
Physical health;Hispanic;Not Selected;42
Physical health;Hispanic;Selected;29
Physical health;Other;Not Selected;46
Physical health;Other;Selected;39
Physical health;White;Not Selected;649
Physical health;White;Selected;702
Your finances;All;Not Selected;846
Your finances;All;Selected;769
Your finances;Asian;Not Selected;14
Your finances;Asian;Selected;22
Your finances;Black;Not Selected;35
Your finances;Black;Selected;37
Your finances;Hispanic;Not Selected;31
Your finances;Hispanic;Selected;40
Your finances;Other;Not Selected;44
Your finances;Other;Selected;41
Your finances;White;Not Selected;722
Your finances;White;Selected;629
Ability to provide for family;All;Not Selected;1171
Ability to provide for family;All;Selected;444
Ability to provide for family;Asian;Not Selected;21
Ability to provide for family;Asian;Selected;15
Ability to provide for family;Black;Not Selected;44
Ability to provide for family;Black;Selected;28
Ability to provide for family;Hispanic;Not Selected;45
Ability to provide for family;Hispanic;Selected;26
Ability to provide for family;Other;Not Selected;61
Ability to provide for family;Other;Selected;24
Ability to provide for family;White;Not Selected;1000
Ability to provide for family;White;Selected;351
None of the above;All;Not Selected;1356
None of the above;All;Selected;259
None of the above;Asian;Not Selected;35
None of the above;Asian;Selected;1
None of the above;Black;Not Selected;64
None of the above;Black;Selected;8
None of the above;Hispanic;Not Selected;66
None of the above;Hispanic;Selected;5
None of the above;Other;Not Selected;70
None of the above;Other;Selected;15
None of the above;White;Not Selected;1121
None of the above;White;;230
